Synthetic_Record_ID,Hours_Studied,Attendance_Pct,Previous_GPA,Assignments_Completed,Quiz_Average,Sleep_Hours,Stress_Level,Commute_Minutes,Social_Hours,Caffeine_Cups,Split,Risk
G1-0034,14.13,87.51,4,7,87.33,7.28,4,30.05,7.37,3,train,0
G1-0035,4.08,75.71,2.34,5,75.06,8.02,2,35.82,8.4,1,train,0
G1-0036,11.07,68.3,2.31,9,53.46,6.72,5,31.85,7.15,3,train,0
G1-0037,14.82,90.76,2.87,6,71.21,7.28,4,38.1,5.24,2,train,0
G1-0038,6.92,90.37,1.66,5,55.31,7.25,5,21.36,6.9,0,train,1
G1-0039,9.23,100,2.58,10,83.51,7.71,3,24.89,4.94,4,train,0
G1-0040,6.72,80.17,3.15,5,79.96,7.44,4,36.58,4.04,1,train,0
G1-0041,10.23,92.23,2.83,10,83.61,7.47,5,8.48,3.32,3,train,0
G1-0042,5.33,87.84,2.91,9,76.82,7.29,5,17.61,4.81,1,train,0
G1-0043,9.64,88.58,3.16,7,85.08,7.9,2,90,11.67,1,train,0
G1-0044,10.95,84.13,2.67,8,73.51,7.8,7,8.65,6.18,2,train,0
G1-0045,13.76,93.55,2.51,10,68.99,7.11,2,9.72,9.87,7,train,0
G1-0046,10.65,87.65,2.71,9,61.62,7.82,3,6.04,8.72,0,train,0
G1-0047,5.92,79.05,2.83,7,91.19,6.56,5,66.35,5.92,4,train,0
G1-0048,10.41,80.65,3.48,7,86.67,7.77,2,61.54,4.49,2,train,0
G1-0049,2.62,78.64,2.8,5,68.09,7.14,6,20.81,8.65,3,train,1
G1-0050,7.96,87.93,2.4,6,58.78,7.78,5,14.99,2.76,1,train,1
G1-0051,10.54,77.16,4,7,94.64,7.94,5,6.88,2.93,3,train,0
G1-0052,3.74,84.48,2.27,7,66.45,6.21,6,36.84,6.66,5,train,1
G1-0053,5.16,87.48,2.77,6,68.83,6.73,4,37.62,6.49,5,train,0
G1-0054,6.85,88.75,2.68,8,75.05,6.52,7,34.57,5.36,1,train,0
G1-0055,11.35,84.82,3.05,7,75.08,6.73,5,12.11,5.27,2,train,0
G1-0056,11.18,73.54,2.08,6,73,7.4,4,9.33,7.43,2,train,0
G1-0057,6.62,83.13,2.54,7,72.09,6.64,7,44.45,7.8,3,train,0
G1-0058,14.45,90.31,3.31,7,92.1,8.07,3,9.01,12.45,2,train,0
G1-0059,11.69,86.73,3.27,5,72.66,8.02,6,39.33,9.4,4,train,0
G1-0060,7.28,76.75,3.35,6,76.95,6.69,6,4.42,9.88,2,train,0
G1-0061,2.79,77.58,2.84,6,72.17,6.74,8,19.3,3.93,3,train,0
G1-0062,8.48,72.34,2.31,6,80.5,6.86,4,61.97,7.4,2,train,0
G1-0063,16.7,100,2.93,10,82.17,7.13,4,15.85,8.72,2,train,0
G1-0064,8.27,81.63,2.81,6,62.61,7.68,6,23.43,9.94,1,train,1
G1-0065,11.11,86.07,2.65,7,65.16,6.94,5,34.5,5.29,3,train,0
G1-0066,8.12,83.99,2.02,8,59.69,6.18,8,34.51,4.69,4,train,0
G1-0067,8.48,78.69,2.34,4,46.05,5.99,5,24.66,6.67,3,train,0
G1-0068,7.45,82.29,3.07,9,70.4,5.61,8,16.69,4.62,2,train,1
G1-0069,6.51,64.23,2.32,5,46.69,5.98,9,22.91,9.48,2,train,1
G1-0070,8.44,77.46,2.66,4,71.45,6.45,4,16.3,8.39,0,train,0
G1-0071,4.84,80.46,2.89,6,82.4,5.69,6,43.59,7.02,6,train,1
G1-0072,10.81,79.7,2.17,7,63.05,7.56,5,20.91,11.03,2,train,1
G1-0073,6.39,75.22,2.08,5,69.31,5.88,8,4.48,4.77,4,train,1
G1-0074,10.88,86.67,2.82,7,63.27,6.82,6,42.94,10.98,2,train,0
G1-0075,12.38,73.63,3.23,4,74.83,7.04,7,20.41,8.32,0,train,1
G1-0076,8.06,74.32,2.51,6,70.46,7.74,4,4.01,5.88,4,train,0
G1-0077,7.75,62.77,2.33,4,75.29,7.11,5,34.48,9.57,3,train,1
G1-0078,4.7,77.04,2.71,8,65.95,6.59,8,3.64,7.77,1,train,1
G1-0079,6.86,80.47,2.74,7,62.83,7.63,6,30.09,6.02,1,train,0
G1-0080,7.45,57.29,2.95,5,70.79,5.99,7,12.51,6.32,1,train,1
G1-0081,12.2,85.68,2.74,7,74.06,6.96,6,17.04,6.06,3,train,0
G1-0082,9.38,76.5,2.81,5,71.27,7.3,4,24.96,3.67,2,train,0
G1-0083,8.89,75.73,3.09,5,86.5,6.52,2,17.44,6.94,1,train,0
G1-0084,5.7,79.43,3.13,7,81.78,5.91,4,21.28,5.29,2,train,0
G1-0085,11.44,83.49,2.57,6,76.05,6.47,5,9.72,4.06,4,train,1
G1-0086,3.03,91.15,2.86,6,63.87,6.47,2,40.56,9.7,1,train,1
G1-0087,9.85,75.77,2.65,6,71.76,6.89,5,11.04,7.29,1,train,0
G1-0088,8.56,71.27,3.16,4,73.62,5.88,6,47.39,10.98,0,train,0
G1-0089,8.99,88.57,2.16,8,62.41,7.17,7,4.95,5.56,4,train,1
G1-0090,8.54,77.79,2.15,8,65.57,7.19,5,2.98,9.94,1,train,1
G1-0091,11.31,95.49,2.9,9,74.97,7.19,7,45.32,4.31,1,train,0
G1-0092,11.67,85.56,2.84,7,69.58,7.01,4,11.43,7.37,4,train,0
G1-0093,11.86,96.05,3.1,10,76.42,6.81,5,19.01,3.88,2,train,0
G1-0094,10.64,79.82,3.35,6,85.02,7.55,6,39.06,6,1,train,0
G1-0095,10.52,87.56,3.18,7,77.08,7.13,5,10.9,5.76,0,train,1
G1-0096,3.94,73,2.54,6,61.48,7.81,2,16.72,10.66,1,train,0
G1-0097,11.5,79.23,3.05,6,83.07,6.53,6,7.95,5.48,1,train,0
G1-0098,13.95,99.57,3.38,8,76.39,7.47,2,13.93,5.65,2,train,0
G1-0099,9.76,99.2,3.35,8,80.23,6.78,4,18.78,11.04,2,train,0
G1-0100,5.65,76.55,2.71,5,79.17,7.13,3,14.44,6.61,3,train,0
G1-0101,4.08,82.28,2.87,7,80.86,7.1,6,57.91,5.78,8,train,0
G1-0102,8.33,85.65,2.53,9,78.19,6.85,5,6.02,2.78,2,train,0
G1-0103,7.45,73.19,2.72,7,64.89,6.68,5,14.14,9.31,2,train,0
G1-0104,9.72,83.14,2.91,6,69.95,8.05,4,26.78,8.83,3,train,0
G1-0105,10.89,86.43,2.9,8,72.17,7.11,6,38.01,5.26,3,train,0
G1-0106,8.51,82.09,2.33,7,74.43,6.63,2,22.33,8.8,3,train,0
G1-0107,7.08,74.85,3.21,6,92.03,7.96,3,19.77,4.08,1,train,0
G1-0108,10.83,76.81,2.96,5,83.66,6.92,7,31.34,5.66,2,train,0
G1-0109,2.18,64.71,2.8,6,57.67,7.16,8,14.67,4.93,2,train,1
G1-0110,8.11,72.41,2.65,5,61.6,7.22,5,18.18,3.61,3,train,1
G1-0111,7.52,81.79,2.36,5,80.4,6.69,4,27.7,11.37,2,train,0
G1-0112,12.54,80.47,2.52,7,74.37,7.06,5,11.29,6.13,1,train,0
G1-0113,13.46,88.75,2.95,10,72.73,8.52,4,7.61,8.95,2,train,0
G1-0114,11.5,96.45,2.51,10,66.03,8.41,2,36.43,9.31,0,train,0
G1-0115,11.61,92.86,2.2,9,59.35,6.84,6,23.12,8.02,1,train,1
G1-0116,10.1,80.63,3.44,6,76.9,7.02,3,36.11,4.63,2,train,0
G1-0117,12.68,97.25,2.99,10,78.6,6.54,4,36.42,4.49,4,train,0
G1-0118,12.32,84.27,3.14,8,91.87,7.26,5,20.13,5.9,1,train,0
G1-0119,5.4,62.1,2.33,3,55.55,7.05,7,36.37,7.4,2,train,1
G1-0120,15.36,91.37,3.12,7,85.53,7.8,3,43.22,11.37,0,train,0
G1-0121,8.7,78.19,3.08,5,81.3,7.08,6,2,8.11,3,train,0
G1-0122,12.18,86.96,3.16,7,86.52,6.36,4,12.92,7.31,0,train,0
G1-0123,7.91,80.15,2.67,6,72.5,7.19,3,3.86,11.23,2,train,0
G1-0124,10.48,81.96,3.13,9,80.48,6.22,6,8.42,6.76,4,train,1
G1-0125,11.91,88.37,3.27,7,88.93,6.68,3,14.97,6.23,2,train,0
G1-0126,9.57,77.59,2.62,7,74.22,6.57,4,42.84,10.7,0,train,0
G1-0127,7.94,82.6,2.68,8,73.9,6.37,5,18.18,8.27,0,train,0
G1-0128,8.3,77.12,2.44,6,80.78,7.61,2,34.07,7.6,0,train,1
G1-0129,13.12,84.88,3.62,6,79.42,7.24,5,28.05,10.8,5,train,0
G1-0130,10.44,78.38,3.14,8,86.91,6.47,4,7.71,7.28,4,train,1
G1-0131,11.88,74.21,3.16,8,83.66,5.03,8,23.72,4.45,3,train,1
G1-0132,8.81,96.21,3.37,8,84.33,6.17,5,31.21,8.06,2,train,0
G1-0133,3.66,89.7,2.4,6,73.49,7.7,3,15.94,10.7,2,train,1
G1-0134,6.83,65.55,2.17,4,55.57,6.87,7,48.01,7.54,1,train,1
G1-0135,7.2,80.15,2.4,8,77.32,6.23,5,40.6,7.63,2,train,0
G1-0136,14.11,81.24,2.74,6,87.3,6.12,6,7.35,8.35,3,train,0
G1-0137,6.2,71.13,2.48,6,65.69,6.42,6,21.62,4.54,2,train,0
G1-0138,3.7,65.6,2.73,3,78.73,7.37,6,18.75,3.84,2,train,1
G1-0139,7.6,77.51,2.22,5,60.61,7.77,2,30.99,11.84,4,train,1
G1-0140,7.88,88.24,3.21,9,82.08,6.6,7,50.93,4.68,1,train,0
G1-0141,6.06,88.8,2.54,9,64.17,6.99,5,5,4.39,1,train,0
G1-0142,10.16,71.55,3.75,7,90.88,6.35,6,3.84,3.14,2,train,0
G1-0143,8.43,83.8,2.74,7,73.9,8.16,2,10.67,9.3,4,train,0
G1-0144,9.79,60.9,2.78,5,87.71,5.89,7,30.29,3.88,4,train,1
G1-0145,10.9,85.49,3.12,7,76.26,7.1,1,44.73,11.42,3,train,0
G1-0146,7.6,85.73,2.67,3,83.38,6.51,5,15.76,6.14,1,train,0
G1-0147,10.74,85.8,2.88,6,82.21,6.12,7,19.4,7.13,2,train,0
G1-0148,6.67,71.17,2.69,5,62.65,5.91,4,51.82,9.16,3,train,1
G1-0149,12.66,80.66,2.7,6,71.25,7.36,4,23.34,10.56,1,train,0
G1-0150,6.16,72.47,2.8,5,78.2,6.79,4,17.24,9.17,2,train,1
G1-0151,7.1,90.98,3.52,9,72.26,8.06,5,10.38,6.9,0,train,0
G1-0152,13.32,95.01,2.74,7,80.47,7.87,3,21.21,7.22,4,train,0
G1-0153,1.38,68.67,2.8,7,73.19,7.17,7,31.2,8.04,4,train,1
G1-0154,6.59,82.58,2.57,9,73.89,6.49,3,6.95,8.53,1,train,1
G1-0155,12.6,97,3.18,9,78.76,8.12,6,23.23,9.31,7,train,0
G1-0156,5.43,74.71,2.36,4,62.06,8.07,4,33.81,10.64,1,train,1
G1-0157,11.52,91.66,3.1,6,78.35,6.71,5,11.26,7.45,2,train,0
G1-0158,10.17,92.51,2.82,10,76.01,6.1,6,30.98,4.13,0,train,0
G1-0159,9.6,79.94,3.16,6,73.03,7.76,4,29.93,7.66,1,train,0
G1-0160,10.42,81.16,2.38,7,73.24,6.83,9,6.47,3.89,1,train,0
G1-0161,5.3,75.52,2.36,6,61.24,7.28,4,4.64,9.45,1,train,0
G1-0162,8.6,84.14,2.62,9,70.04,6.15,9,6.87,1.71,0,train,0
G1-0163,12.18,100,3.39,10,75.86,8.78,5,15.54,6.98,1,train,0
G1-0164,5.59,78.85,2.6,8,70.21,6.35,5,23.57,4.84,1,train,0
G1-0165,1.33,82.57,2.29,6,77.22,7.89,5,59.45,9.18,1,train,1
G1-0166,12.75,78.73,2.87,6,82.48,8.01,5,25.79,7.2,4,train,0
G1-0167,3.9,66.75,2.82,3,81.89,7.5,5,19.52,6.85,1,train,1
G1-0168,7.51,78.1,2.93,7,71.81,6.98,2,25.19,8.28,2,train,0
G1-0169,15.57,88.72,3.92,10,89.57,6.43,4,21.22,8.58,3,train,0
G1-0170,11.28,69.91,2.82,7,78.81,6.48,7,26.04,4.91,2,train,1
G1-0171,10.7,83.8,3.27,6,74.77,7.42,5,31.24,4.5,0,train,0
G1-0172,10.5,91.29,3.36,9,81.36,7.77,4,27.09,7.67,3,train,0
G1-0173,9.26,72.15,2.55,7,80.27,7.45,5,24.6,9.36,3,train,0
G1-0174,14.26,87.5,3.01,9,77.54,6.64,7,19.57,5.9,2,train,0
G1-0175,5.13,81.17,2.8,7,84.19,6.82,6,13.95,6.64,2,train,0
G1-0176,6.04,75.31,2.48,6,70.25,6.57,5,10.75,6.02,3,train,1
G1-0177,12.9,86.04,3.17,9,80.64,6.32,5,9.34,10.54,3,train,0
G1-0178,7.39,81.86,3.31,6,71.56,6.42,4,5.3,9.17,0,train,0
G1-0179,3.31,83.02,3.63,8,77,8.08,4,32.62,8.87,3,train,0
G1-0180,4.64,73.12,1.76,5,61.79,5.46,4,8.44,8.71,3,train,1
G1-0181,9.91,85.24,2.33,8,57.13,6.59,4,37.59,4.76,1,train,1
G1-0182,7.77,70.63,3,3,78.27,7.38,6,27.92,7.68,5,train,1
G1-0183,12.14,83.32,3.29,7,79.84,8.42,2,41.37,5.33,2,train,0
G1-0184,7.88,99.49,3.58,10,93.4,8.06,4,42.3,10.13,2,train,0
G1-0185,4.74,72.38,2.2,7,61.33,7.78,4,60.5,7.2,1,train,1
G1-0186,11.28,76.13,3,9,77.22,6.81,6,12.64,8.03,2,train,0
G1-0187,7.84,80.38,2.07,6,48.56,6.65,7,24.82,3.94,1,train,1
G1-0188,4.16,85.41,2.29,6,71.54,6.6,5,18.98,9.24,2,train,1
G1-0189,10.78,94.52,2.91,9,86.23,6.94,4,24.7,4.37,0,train,0
G1-0190,5.52,65.87,2.48,5,69.88,6.42,9,7.11,3.89,2,train,1
G1-0191,8.71,83.82,3.42,7,75.98,7.86,3,42.41,8.93,0,train,0
G1-0192,8.16,84.31,3.06,6,74.22,6.67,3,21.41,5.13,3,train,1
G1-0193,9.43,87.32,2.99,6,72.1,7.57,5,20.4,7.36,1,train,0
G1-0194,6.2,67.16,2.78,5,72.83,5.9,5,18.43,6.65,2,train,0
G1-0195,5.33,72.96,3.42,6,83.2,5.79,6,25.21,3.48,2,train,1
G1-0196,9.24,71.03,2.22,9,63.75,7.82,6,26.36,9.14,5,train,1
G1-0197,5.33,63.62,2.53,5,65.46,6.56,8,35.47,5.04,3,train,1
G1-0198,8.11,67.64,2.71,5,79.93,5.43,7,54.85,6.53,1,train,1
G1-0199,6.8,77.66,2.38,8,54.7,6.66,6,19.92,9.88,4,train,1
G1-0200,1.63,69.15,2.64,4,56.36,5.46,7,28.84,4.7,3,train,1
G1-0201,11.13,97,3.25,8,85.75,6.6,4,12.23,7.43,4,train,0
G1-0202,10,88.84,3.36,9,77.05,8.4,3,36.14,7.84,1,train,0
G1-0203,7.39,85.3,2.42,9,68.15,5.77,5,21.2,3.67,2,train,1
G1-0204,7.84,73.91,3.59,7,85.85,6.62,8,75.12,5.65,4,train,1
G1-0205,8.9,76.14,2.35,6,66.69,7.68,3,18.84,7.47,1,train,1
G1-0206,5.25,70.31,3.42,4,80.75,6.82,5,20.07,4.79,4,train,1
G1-0207,10.44,83.57,3.06,8,75.35,7.13,6,22.92,4.41,1,train,0
G1-0208,10.81,87.75,2.77,6,82.13,7.25,2,33.54,4.98,1,train,0
G1-0209,13.5,81.27,2.67,7,89.99,8.47,5,71.5,5.98,4,train,0
G1-0210,11.14,84.23,3.27,6,89.31,8.21,6,13.81,10.33,1,train,0
G1-0211,11.37,86.83,3.24,8,75.06,6.96,5,22.27,4.83,5,train,0
G1-0212,5.65,77.19,2.66,7,72.84,7.23,6,30.67,9.56,3,train,0
G1-0213,12.11,86.02,3.14,9,97.81,6.14,6,15.2,5.15,5,train,0
G1-0214,7,73.79,3,7,55.44,5.99,6,90,6.93,0,train,1
G1-0215,7.54,73.83,2.76,6,71.37,6.66,7,66.44,5.84,2,train,1
G1-0216,4.94,81.14,1.85,7,58.97,7.07,4,22.31,7.48,1,train,1
G1-0217,6.22,79.64,2.64,6,65.71,7.6,3,23.95,7.18,2,train,0
G1-0218,9.65,77.41,3.19,7,67.51,7.53,6,42.31,6,0,train,1
G1-0219,7.81,87.86,2.84,5,72.73,7.41,2,37.44,8.87,1,train,0
G1-0220,3.65,60.73,2.12,4,61.99,7.29,5,6.77,4.42,1,train,1
G1-0221,11.29,80.04,3.11,7,86.9,6.48,3,39.67,4.48,1,train,0
G1-0222,16.52,97.24,2.73,7,76.62,6.02,6,8.88,4.36,1,train,0
G1-0223,12.61,86.72,3.01,6,87.05,8.27,4,78.3,5.53,2,train,0
G1-0224,10.45,78.33,3.27,9,67.96,7.58,7,46.21,6.13,1,train,0
G1-0225,7.27,86.38,2.49,8,75.92,6.22,7,24.51,5.34,1,train,0
G1-0226,4.35,70.69,2.37,5,76.45,6.64,6,9.08,5.91,2,train,1
G1-0227,8.67,85.36,2.98,10,72.4,7.99,5,50.17,6.45,0,train,0
G1-0228,11.47,89.39,3.16,7,61.18,6.38,6,17.88,11.72,0,train,0
G1-0229,11.7,83.73,2.77,9,71.61,6.38,7,85.87,11,4,train,1
G1-0230,14.19,100,2.86,10,71.91,7.04,3,24.85,9.43,3,train,0
G1-0231,11.64,84.67,2.69,6,71.23,7.95,6,8.19,8.76,0,train,1
G1-0232,12.35,90.07,2.76,9,73.24,8.99,3,21.12,7.25,0,train,0
G1-0233,7.14,76.41,2.54,6,71.25,7.23,5,9.89,6.54,4,train,1
G1-0234,11.73,91.77,3.52,7,84.12,6.44,4,71.98,9.95,2,train,0
G1-0235,9.72,89.88,3.13,8,71.77,6.55,5,10.09,6.19,3,train,0
G1-0236,7.25,82.12,2.32,6,63.73,7.17,4,21.39,4.36,3,train,1
G1-0237,11.65,80.96,2.58,9,78.13,8.23,6,24.47,5.44,1,train,0
G1-0238,6.52,80.67,2.31,8,68.69,6.29,8,56.36,2.17,4,train,1
G1-0239,3.37,75.88,3.21,7,76.32,7.03,6,22.19,5.16,3,train,1
G1-0240,7.73,71.31,3.23,6,84.08,6.44,6,26.63,4.23,0,train,1
G1-0241,10.35,86.12,2.76,10,65.3,6.14,5,42.9,6.64,0,train,0
G1-0242,6.99,67.7,2.96,6,89.35,5.99,6,10.15,9.82,1,train,0
G1-0243,3.08,89.42,3.06,9,64.52,6.66,8,73.42,6.82,4,train,1
G1-0244,3.59,64.83,2.79,6,71.05,7.76,4,12.17,6.61,2,train,1
G1-0245,3.36,63.16,2.67,2,69.75,6.91,8,43.8,4.05,1,train,1
G1-0246,3.13,75.61,1.93,5,50.78,6.15,6,32.88,6.38,4,train,1
G1-0247,5.91,94.41,3.31,7,81.35,7.89,4,38.8,4.32,2,train,0
G1-0248,11.11,70.64,2.8,9,63.63,7.95,4,17.05,6.08,3,train,0
G1-0249,5.59,77.2,2.5,6,58.82,6.9,6,26.81,7.17,4,train,1
G1-0250,6.73,79.51,3.15,5,88.47,7.45,8,31.99,3.07,4,train,0
G1-0251,14.97,93.91,3,9,83.72,7.72,5,14.05,5.41,3,train,0
G1-0252,9.26,76,1.96,5,59.8,5.93,10,11.6,6.64,6,train,1
G1-0253,4.68,80.61,3.06,8,83.76,6.84,5,32.35,3.44,3,train,0
G1-0254,11.85,88.53,2.55,8,81.27,6.72,4,12.75,5.52,3,train,0
G1-0255,10.06,77.22,2.49,5,66.22,8.27,7,4,8.95,3,train,0
G1-0256,12.12,80.52,2.51,8,74.88,6.76,7,25.73,6.39,5,train,0
G1-0257,6.77,79.31,2.28,7,76.31,7.59,3,27.72,11.03,1,train,0
G1-0258,13.48,99.21,3.71,8,94.55,6.73,6,58.92,7.72,2,train,0
G1-0259,6.28,92.25,1.71,8,65.29,5.69,4,52.06,7.47,1,train,0
G1-0260,8.66,80.97,2.66,6,73.3,7.7,3,32.08,4.55,3,train,0
G1-0261,7.43,82.84,2.95,7,70.13,6.06,4,38.67,8.38,5,train,0
G1-0262,9.93,83.95,2.82,5,71.49,7.03,6,43.04,11.02,4,train,0
G1-0263,11.25,85.14,2.95,7,76.68,6.57,4,15.57,8.41,3,train,0
G1-0264,3.61,79.29,2.05,8,57,6.45,7,45.3,9.03,5,train,1
G1-0265,12.88,98.97,2.63,7,68.51,6.95,8,31.08,8.27,5,train,1
G1-0266,7.02,82.58,2.89,8,68.87,6.31,4,16.39,6.7,3,train,0
G1-0267,8.17,79.85,2.36,6,69.91,6.9,7,23.27,6.82,3,train,1
G1-0268,7.07,88.66,3.12,8,74.02,7.85,5,3.8,5.05,2,train,0
G1-0269,6.97,75.74,2.9,5,81.11,7.85,5,17.64,3.85,1,train,0
G1-0270,11.72,75.1,2.59,7,74,5.79,7,19.58,8.35,3,train,0
G1-0271,9.72,96.98,2.45,7,65.26,7.53,5,58.35,5.19,7,train,0
G1-0272,6.75,83.45,2.43,6,58.79,7.01,2,18.03,10.03,3,train,0
G1-0273,9.34,81.39,3.23,7,85.87,7.32,5,12.98,12.92,2,train,0
G1-0274,4.68,86.33,3.43,5,85.33,6.82,5,26.55,8.2,4,train,1
G1-0275,11.73,84.94,3.15,9,80.67,7.61,3,15.01,5.14,2,train,0
G1-0276,14.71,89.51,2.84,8,68.71,7.76,2,14.68,6.88,1,train,0
G1-0277,10.87,66.99,2.25,6,67.38,7.27,4,42.67,5.94,1,train,1
G1-0278,9.7,87.48,3.11,8,82.32,6.84,6,43.74,0.36,3,train,0
G1-0279,9.07,87.48,2.73,10,68.17,6.25,4,55.75,7.56,3,train,0
G1-0280,13.44,82.4,2.67,7,84.73,8.06,5,14.04,6.5,2,train,0
G1-0281,4.08,78.02,2.52,7,67.35,7.85,5,32.16,5.73,4,train,1
G1-0282,13.63,90.58,2.93,7,80.83,8.24,2,30.03,7.91,3,train,0
G1-0283,12.46,86.77,3.3,6,87.82,7.33,6,30.45,7.26,4,train,0
G1-0284,9.97,79,2.86,9,57.79,7.3,7,39.43,6.6,3,train,0
G1-0285,5.32,78.93,2.4,6,66.78,7.08,7,10.55,5.24,3,train,1
G1-0286,11.58,90.02,2.59,9,64.46,7.25,3,39,9.1,6,train,0
G1-0287,9.89,74.98,2.85,7,71.4,7.96,6,8.59,9.83,0,train,1
G1-0288,11.46,96.36,3.06,8,72.68,6.97,4,32.41,6.58,1,train,0
G1-0289,2.28,59.77,2.38,4,65.93,7.21,6,90,11.15,2,train,1
G1-0290,2.42,72.36,2.02,7,60.92,6.82,7,24.84,5.33,4,train,1
G1-0291,9.97,81.08,2.84,8,72,8.15,6,9,0,4,train,0
G1-0292,5.45,91.68,2.82,9,69.35,7.07,5,11.73,5.3,3,train,0
G1-0293,10.5,88.86,2.68,8,69.13,7.17,5,71.25,5.29,0,train,0
G1-0294,10,81.21,2.92,8,78.47,7.76,7,34.09,5.7,2,train,0
G1-0295,10.7,92.25,2.94,6,90.26,8.04,4,38.48,6,4,train,0
G1-0296,10.12,88.86,2.92,8,94.57,6.81,5,50.14,7.46,2,train,0
G1-0297,7.53,82.85,2.74,8,85.37,7.64,3,18.52,4.04,2,train,0
G1-0298,10.85,81.11,2.9,7,80.59,7.44,3,7.68,11.1,2,train,0
G1-0299,7.89,77.08,2.8,5,84.18,6.42,7,20.69,3.07,2,train,0
G1-0300,1,59.15,2.22,4,61.45,5.91,7,15.31,9.06,3,train,1
G1-0301,11.9,85.85,2.8,7,67.3,6.92,5,28.88,6.06,3,train,0
G1-0302,3.93,81.6,2.14,7,66.78,6.53,5,11.35,5.53,2,train,1
G1-0303,12.53,76.55,3.28,8,86.15,7.5,8,2.14,8.18,1,train,0
G1-0304,5.02,82.71,2.75,4,73.01,7.06,5,4.71,6.75,3,train,1
G1-0305,12.93,75.56,3.29,7,81.42,7.34,6,57.59,6.97,2,train,0
G1-0306,1,68.27,2.79,4,63.76,6.7,5,11.8,8.38,2,train,1
G1-0307,9.02,81.34,2.9,8,73.07,7.28,6,34.09,12.66,2,train,0
G1-0308,7.13,66.3,2.88,7,85.55,6.23,7,66.77,8.77,3,train,0
G1-0309,9.61,86.81,2.71,8,78.69,8.17,5,17.04,8.26,2,train,0
G1-0310,7.01,84.32,3.07,9,69.22,5.96,3,25.22,9.59,0,train,0
G1-0311,5.45,84.09,2.25,6,64.8,7.09,7,15.53,4.41,4,train,0
G1-0312,4.07,59.31,2.06,4,61.15,7.17,4,24.28,7.27,2,train,1
G1-0313,13.22,82.48,2.72,7,68.97,8.13,6,22.92,8.23,3,train,1
G1-0314,7.02,90.83,2.76,8,69.41,7.74,6,28.8,5.55,0,train,0
G1-0315,6.87,80.62,2.45,7,56.1,6.9,5,19.36,7.85,5,train,1
